Time	VALVE 179	LAG 382	LAG 386	VALVE 228
	POSITION	OUT	OUT	POSITION
		SIGNAL	SIGNAL	
				
295	20	17.8146	15.519	3
296	20	17.8252	15.5401	3
297	20	17.8358	15.5609	3
298	20	17.8461	15.5814	20
299	20	17.8564	15.6018	20
300	20	17.8664	15.622	20
301	20	17.8764	15.6419	20
302	20	17.8862	15.6616	20
303	20	17.8959	15.6812	20
304	20	17.9054	15.7005	20
305	20	17.9148	15.7196	20
306	20	17.9241	15.7385	20
307	20	17.9332	15.7572	20
308	20	17.9423	15.7757	20
309	20	17.9512	15.794	20
310	20	17.9599	15.8121	20
311	40	17.9686	15.83	20
312	40	17.9771	15.8477	20
313	40	17.9855	15.8652	20
314	40	17.9938	15.8825	20
315	40	18.002	15.8996	20
316	40	18.0101	15.9165	20
317	40	18.018	15.9333	20
318	40	18.0259	15.9498	20
319	40	18.0336	15.9662	20
320	40	18.0412	15.5297	20
321	40	18.0488	15.122	20
322	40	18.0562	14.7412	20
323	40	18.0635	14.3856	20
324	40	18.0707	14.0535	20
325	40	18.0778	13.7434	20
326	40	18.0848	13.4539	20
327	40	18.0918	13.1835	20
328	40	18.0986	12.9311	20
329	40	18.1053	12.6954	20
330	40	18.112	12.4755	20
331	40	18.1185	12.2702	20
332	40	18.1249	12.0786	20
333	40	19.0938	11.8998	20
334	40	19.9617	11.7335	20
335	40	20.7391	11.5795	20
336	40	21.4355	11.4374	20
337	40	22.0594	11.3068	20
338	40	22.6185	11.1873	20
339	40	23.1194	11.0785	20
340	40	23.5682	10.9799	20
341	40	23.9705	10.891	20
342	40	24.3311	10.8114	20
343	40	24.6544	10.7405	20
344	40	24.9442	10.6781	20
345	40	25.2041	10.6235	20
346	40	25.4372	10.5764	20
347	40	25.6464	10.5362	20
348	40	25.834	10.5027	20
349	40	26.0024	10.4753	20
350	40	26.1536	10.4537	20
351	40	26.2894	10.4375	20
352	40	26.4113	10.4263	20
353	40	26.5209	10.4198	20
354	40	26.6194	10.4177	20
355	40	26.708	10.4196	20
356	40	26.7878	10.4252	20
357	40	26.8596	10.4342	20
358	40	26.9242	10.4464	20
359	40	26.9825	10.4616	20
360	40	27.035	10.4794	20
361	40	27.0824	10.4996	20
362	40	27.1253	10.522	20
363	40	27.164	10.5464	20
364	40	27.199	10.5727	20
365	40	27.2308	10.6006	20
366	40	27.2595	10.63	20
367	40	27.2857	10.6607	20
368	40	27.3094	10.6925	20
369	40	27.331	10.7254	20
370	40	27.3506	10.7591	20
371	40	27.3686	10.7937	20
372	40	27.385	10.8289	20
373	40	27.4	10.8647	20
374	40	27.4138	10.9009	20
375	40	27.4264	10.9375	20
376	40	27.4381	10.9744	20
377	40	27.4488	11.0115	20
378	40	27.4587	11.0487	20
379	40	27.4679	11.086	20
380	40	27.4764	11.1234	20
381	40	27.4844	11.1606	20
382	40	27.4918	11.1978	20
383	40	27.4987	11.2349	20
384	40	27.5051	11.2718	20
385	40	27.5112	11.3085	20
386	40	27.5169	11.3449	20
387	40	27.5223	11.381	20
388	40	27.5274	11.4168	20
389	40	27.5322	11.4523	20
390	40	27.5368	11.4874	20
391	40	27.5412	11.5221	20
392	40	27.5453	11.5564	20
393	40	27.5493	11.5903	20
394	40	27.5531	11.6237	20
395	40	27.5568	11.6567	20
396	40	27.5603	11.6893	20
397	40	27.5637	11.7213	20
