Time	tank shape = vertical	VALVE 172
	LEVEL	POSITION
		
		
3.61	12.2913	50
3.62	12.3123	50
3.63	12.3332	50
3.64	12.3541	50
3.65	12.3749	50
3.66	12.3957	50
3.67	12.4164	50
3.68	12.4371	50
3.69	12.4578	50
3.7	12.4785	50
3.71	12.499	50
3.72	12.5196	50
3.73	12.5401	50
3.74	12.5606	50
3.75	12.581	50
3.76	12.6014	50
3.77	12.6218	50
3.78	12.6421	50
3.79	12.6624	50
3.8	12.6827	50
3.81	12.7029	50
3.82	12.7231	50
3.83	12.7432	50
3.84	12.7633	50
3.85	12.7834	50
3.86	12.8034	50
3.87	12.8234	50
3.88	12.8433	50
3.89	12.8632	50
3.9	12.8831	50
3.91	12.903	50
3.92	12.9228	50
3.93	12.9425	50
3.94	12.9623	50
3.95	12.982	50
3.96	13.0016	50
3.97	13.0213	50
3.98	13.0409	50
3.99	13.0604	50
4	13.0799	50
4.01	13.0994	50
4.02	13.1189	50
4.03	13.1383	50
4.04	13.1576	50
4.05	13.177	50
4.06	13.1963	50
4.07	13.2156	50
4.08	13.2348	50
4.09	13.254	50
4.1	13.2732	50
4.11	13.2923	50
4.12	13.3114	50
4.13	13.3304	50
4.14	13.3495	50
4.15	13.3685	50
4.16	13.3874	50
4.17	13.4064	50
4.18	13.4252	50
4.19	13.4441	50
4.2	13.4629	50
4.21	13.4817	50
4.22	13.5005	50
4.23	13.5192	50
4.24	13.5379	50
4.25	13.5565	50
4.26	13.5751	50
4.27	13.5937	50
4.28	13.6123	50
4.29	13.6308	50
4.3	13.6493	50
4.31	13.6677	50
4.32	13.6862	50
4.33	13.7045	50
4.34	13.7229	50
4.35	13.7412	50
4.36	13.7595	50
4.37	13.7778	50
4.38	13.796	50
4.39	13.8142	50
4.4	13.8323	50
4.41	13.8505	50
4.42	13.8686	50
4.43	13.8866	50
4.44	13.9046	50
4.45	13.9226	50
4.46	13.9406	50
4.47	13.9585	50
4.48	13.9764	50
4.49	13.9943	50
4.5	14.0122	50
4.51	14.03	50
4.52	14.0477	50
4.53	14.0655	50
4.54	14.0832	50
4.55	14.1009	50
4.56	14.1185	50
4.57	14.1362	50
4.58	14.1537	50
4.59	14.1713	50
4.6	14.1888	50
4.61	14.2063	50
4.62	14.2238	50
4.63	14.2412	50
4.64	14.2586	50
4.65	14.276	50
4.66	14.2933	50
4.67	14.3107	50
4.68	14.3279	50
4.69	14.3452	50
4.7	14.3624	50
4.71	14.3796	50
4.72	14.3968	50
4.73	14.4139	50
4.74	14.431	50
4.75	14.4481	50
4.76	14.4651	50
4.77	14.4821	50
4.78	14.4991	50
4.79	14.5161	50
4.8	14.533	50
4.81	14.5499	50
4.82	14.5668	50
4.83	14.5836	50
4.84	14.6004	50
4.85	14.6172	50
4.86	14.6339	50
4.87	14.6507	50
4.88	14.6674	50
4.89	14.684	50
4.9	14.7007	50
4.91	14.7173	50
4.92	14.7338	50
4.93	14.7504	50
4.94	14.7669	50
4.95	14.7834	50
4.96	14.7999	50
4.97	14.8163	50
4.98	14.8327	50
4.99	14.8491	50
5	14.8654	50
5.01	14.8817	50
5.02	14.898	50
5.03	14.9143	50
5.04	14.9305	50
5.05	14.9468	50
5.06	14.9629	50
5.07	14.9791	50
5.08	14.9952	50
5.09	15.0113	50
5.1	15.0274	50
5.11	15.0434	50
5.12	15.0595	50
5.13	15.0754	50
5.14	15.0914	50
5.15	15.1074	50
5.16	15.1232	50
5.17	15.1391	50
5.18	15.155	50
5.19	15.1708	50
5.2	15.1866	50
5.21	15.2024	50
5.22	15.2181	50
5.23	15.2339	50
5.24	15.2495	50
5.25	15.2652	50
5.26	15.2809	50
