Time	VALVE 368	#5 Tank shape = vertical
	POSITION	OUT1
		TEMPERATURE
		`C
17.24	50	47.2068
17.25	50	47.2068
17.26	50	47.2068
17.27	50	47.2068
17.28	50	47.2068
17.29	50	47.2068
17.3	50	47.2068
17.31	50	47.2068
17.32	50	47.2068
17.33	50	47.2068
17.34	50	47.2068
17.35	50	47.2068
17.36	50	47.2068
17.37	50	47.2068
17.38	50	47.2068
17.39	50	47.2068
17.4	50	47.2068
17.41	50	47.2068
17.42	50	47.2068
17.43	50	47.2068
17.44	50	47.2068
17.45	50	47.2068
17.46	50	47.2068
17.47	50	47.2068
17.48	50	47.2068
17.49	50	47.2068
17.5	50	47.2068
17.51	50	47.2068
17.52	50	47.2068
17.53	50	47.2068
17.54	50	47.2068
17.55	50	47.2068
17.56	50	47.2068
17.57	50	47.2068
17.58	50	47.2068
17.59	50	47.2068
17.6	50	47.2068
17.61	50	47.2068
17.62	50	47.2068
17.63	50	47.2068
17.64	50	47.2068
17.65	50	47.2068
17.66	50	47.2068
17.67	50	47.2068
17.68	50	47.2068
17.69	50	47.2068
17.7	50	47.2068
17.71	50	47.2068
17.72	50	47.2068
17.73	50	47.2068
17.74	50	47.2068
17.75	50	47.2068
17.76	50	47.2068
17.77	50	47.2068
17.78	50	47.2068
17.79	50	47.2068
17.8	50	47.2068
17.81	50	47.2068
17.82	50	47.2068
17.83	50	47.2068
17.84	50	47.2068
17.85	50	47.2068
17.86	50	47.2068
17.87	50	47.2068
17.88	50	47.2068
17.89	50	47.2068
17.9	50	47.2068
17.91	50	47.2068
17.92	50	47.2068
17.93	50	47.2068
17.94	50	47.2068
17.95	50	47.2068
17.96	50	47.2068
17.97	50	47.2068
17.98	50	47.2068
17.99	50	47.2068
18	50	47.2068
18.01	50	47.2068
18.02	50	47.2068
18.03	50	47.2068
18.04	50	47.2068
18.05	50	47.2068
18.06	50	47.2068
18.07	50	47.2068
18.08	50	47.2068
18.09	50	47.2068
18.1	50	47.2068
18.11	50	47.2068
18.12	50	47.2068
18.13	50	47.2068
18.14	50	47.2068
18.15	50	47.2068
18.16	50	47.2068
18.17	50	47.2068
18.18	50	47.2068
18.19	50	47.2068
18.2	50	47.2068
18.21	50	47.2068
18.22	50	47.2068
18.23	50	47.2068
18.24	50	47.2068
18.25	50	47.2068
18.26	50	47.2068
18.27	50	47.2068
18.28	50	47.2068
18.29	50	47.2068
18.3	50	47.2068
18.31	50	47.2068
18.32	50	47.2068
18.33	50	47.2068
18.34	50	47.2068
18.35	50	47.2068
18.36	50	47.2068
18.37	50	47.2068
18.38	50	47.2068
18.39	50	47.2068
18.4	50	47.2068
18.41	50	47.2068
18.42	50	47.2068
18.43	50	47.2068
18.44	50	47.2068
18.45	50	47.2068
18.46	50	47.2068
18.47	50	47.2068
18.48	50	47.2068
18.49	50	47.2068
18.5	50	47.2068
18.51	50	47.2068
18.52	50	47.2068
18.53	50	47.2068
18.54	50	47.2068
18.55	50	47.2068
18.56	50	47.2068
18.57	50	47.2068
18.58	50	47.2068
18.59	50	47.2068
18.6	50	47.2068
18.61	50	47.2068
18.62	50	47.2068
18.63	50	47.2068
18.64	50	47.2068
18.65	50	47.2068
18.66	50	47.2068
18.67	50	47.2068
18.68	50	47.2068
18.69	50	47.2068
18.7	50	47.2068
18.71	50	47.2068
18.72	50	47.2068
18.73	50	47.2068
18.74	50	47.2068
18.75	50	47.2068
18.76	50	47.2068
18.77	50	47.2068
18.78	50	47.2068
18.79	50	47.2068
18.8	50	47.2068
18.81	50	47.2068
18.82	50	47.2068
18.83	50	47.2068
18.84	50	47.2068
18.85	50	47.2068
18.86	50	47.2068
18.87	50	47.2068
18.88	50	47.2068
18.89	50	47.2068
18.9	50	47.2068
18.91	50	47.2068
18.92	50	47.2068
18.93	50	47.2068
18.94	50	47.2068
18.95	50	47.2068
18.96	50	47.2068
18.97	50	47.2068
18.98	50	47.2068
18.99	50	47.2068
19	50	47.2068
19.01	50	47.2068
19.02	50	47.2068
19.03	50	47.2068
19.04	50	47.2068
19.05	50	47.2068
19.06	50	47.2068
19.07	50	47.2068
19.08	50	47.2068
19.09	50	47.2068
19.1	50	47.2068
19.11	50	47.2068
19.12	50	47.2068
19.13	50	47.2068
19.14	50	47.2068
19.15	50	47.2068
19.16	50	47.2068
19.17	50	47.2068
19.18	50	47.2068
19.19	50	47.2068
19.2	50	47.2068
19.21	50	47.2068
19.22	50	47.2068
19.23	50	47.2068
19.24	50	47.2068
19.25	50	47.2068
19.26	50	47.2068
19.27	50	47.2068
